Institution,Faculty,Gender,Age,Level,Exposed_to_Content,Frequency,Content_Type,Awareness_Increased,Learned_Deforestation,Influenced_Views,Pay_Attention,Follow_Pages,Platforms_Used_Raw,Main_Platform,Interaction_Type,Pref_Instagram,Pref_Twitter,Pref_WhatsApp,Pref_YouTube,Changed_Behavior,Actions_Taken_Raw,Social_Media_Motivates,Conscious_Increase,Speak_More,Feel_Responsible,Effective_Factor,Suggestions
Lead City University (LCU),Applied Sciences,Male,16–20,300 Level,Yes,Rarely,Campaign Flyers,4,4,2,4,Yes,Facebook,Facebook,Like only,4,5,3,3,No,None,2,4,1,2,Simplicity and clarity,Collaborate with schools
Lead City University (LCU),Law,Male,16–20,200 Level,Yes,Daily,Images/Posters,5,4,3,3,No,"Instagram, Twitter (X), TikTok, YouTube",WhatsApp,Like & Comment,4,3,5,4,Yes,"Shared Content, Donation",3,5,3,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Male,26–30,100 Level,Yes,Weekly,Campaign Flyers,4,4,5,3,Yes,Instagram,Twitter (X),I only view/read,4,4,4,4,No,None,4,4,4,3,Influencer promotion,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,100 Level,Yes,Rarely,Videos/Documentaries,4,4,4,2,Yes,TikTok,Facebook,I only view/read,4,2,4,4,No,None,1,2,4,5,Strong visuals,Make it relatable
"The Polytechnic, Ibadan",Engineering,Female,16–20,300 Level,Yes,Weekly,Articles/Posts,5,4,4,4,Yes,WhatsApp,WhatsApp,Share/Repost,4,4,5,4,No,None,4,3,3,1,Influencer promotion,None
"The Polytechnic, Ibadan",Science,Female,21–25,300 Level,Yes,Weekly,Images/Posters,4,3,4,2,No,WhatsApp,Facebook,Like & Comment,4,3,5,3,No,None,4,3,3,2,Emotional storytelling,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Female,16–20,200 Level,Yes,Weekly,Videos/Documentaries,1,3,3,3,Yes,WhatsApp,Instagram,Like & Comment,3,5,4,4,Yes,"Joined Group, Shared Content",5,5,2,2,Simplicity and clarity,Good job
Lead City University (LCU),Law,Male,16–20,400 Level,Yes,Weekly,Images/Posters,3,4,4,3,No,YouTube,Twitter (X),I only view/read,4,4,5,4,Yes,Shared Content,3,5,2,4,Simplicity and clarity,Good job
"The Polytechnic, Ibadan",Business,Male,16–20,100 Level,Yes,Daily,Infographics,4,4,4,5,No,WhatsApp,Facebook,Like only,3,5,4,4,No,None,4,5,2,4,Strong visuals,Collaborate with schools
Lead City University (LCU),Applied Sciences,Female,21–25,500 Level / Postgraduate,No,Not Applicable,None,3,3,3,3,No,Facebook,Instagram,Participate in Challenges/Campaigns,4,2,3,4,No,None,2,3,4,3,Influencer promotion,None
University of Ibadan (UI),Arts,Female,16–20,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,5,5,5,3,Yes,"Facebook, Twitter (X)",Twitter (X),Like only,4,5,4,4,Not sure,None,4,5,2,5,Strong visuals,Collaborate with schools
"The Polytechnic, Ibadan",Science,Female,16–20,100 Level,Yes,Rarely,Videos/Documentaries,2,3,2,2,Yes,Twitter (X),WhatsApp,Share/Repost,2,2,4,4,No,None,2,3,3,2,Influencer promotion,None
University of Ibadan (UI),Renewable Natural Resources,Male,21–25,400 Level,Yes,Weekly,Images/Posters,4,3,4,3,Yes,TikTok,Facebook,Like only,4,3,4,4,Yes,Shared Content,3,4,4,4,Emotional storytelling,More videos
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,300 Level,Yes,Rarely,Images/Posters,3,4,3,2,Yes,Instagram,Twitter (X),Like only,5,4,3,3,No,None,2,5,3,3,Emotional storytelling,Make it relatable
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,400 Level,Yes,Rarely,Images/Posters,4,3,2,2,No,WhatsApp,I do not engage,Like only,5,2,5,3,No,None,1,3,2,3,Simplicity and clarity,None
"The Polytechnic, Ibadan",Engineering,Female,21–25,400 Level,Yes,Rarely,Images/Posters,3,4,3,4,No,Instagram,WhatsApp,Like only,2,3,5,5,Yes,"Shared Content, Tree-planting",3,4,3,3,Strong visuals,More videos
"The Polytechnic, Ibadan",Business,Female,26–30,200 Level,Yes,Rarely,Articles/Posts,4,3,1,3,Yes,"WhatsApp, YouTube, Twitter (X)",WhatsApp,Like only,5,2,5,4,No,None,1,3,2,2,Emotional storytelling,Good job
Lead City University (LCU),Law,Female,21–25,300 Level,Yes,Daily,Videos/Documentaries,3,5,2,5,Not sure,"YouTube, Twitter (X), Instagram",I do not engage,Like & Comment,3,3,5,4,No,None,4,3,5,5,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,300 Level,Yes,Daily,Images/Posters,5,4,4,3,Yes,"Instagram, TikTok",TikTok,Like only,4,5,4,3,Yes,Shared Content,4,5,5,5,Strong visuals,Collaborate with schools
University of Ibadan (UI),Renewable Natural Resources,Prefer not to say,21–25,400 Level,Yes,Rarely,Images/Posters,5,2,2,3,No,Facebook,Facebook,Participate in Challenges/Campaigns,2,4,3,5,No,None,4,3,1,3,Simplicity and clarity,None
"The Polytechnic, Ibadan",Engineering,Male,21–25,100 Level,No,Not Applicable,None,3,3,3,3,No,"WhatsApp, Facebook",Facebook,Like & Comment,4,4,3,3,No,None,1,3,2,2,Emotional storytelling,None
University of Ibadan (UI),Social Sciences,Male,Above 30,300 Level,Yes,Rarely,Videos/Documentaries,3,2,2,3,Yes,WhatsApp,Facebook,Like only,3,3,5,4,Yes,Shared Content,3,2,3,3,Simplicity and clarity,Good job
Lead City University (LCU),Management,Female,16–20,400 Level,Yes,Daily,Images/Posters,5,5,5,4,Yes,WhatsApp,WhatsApp,Like only,4,3,3,4,Yes,"Shared Content, Stopped Harmful Products",4,5,5,5,Simplicity and clarity,Good job
"The Polytechnic, Ibadan",Business,Female,16–20,100 Level,Yes,Weekly,Images/Posters,4,2,5,4,Yes,"Instagram, Twitter (X)",WhatsApp,Like & Comment,3,2,3,4,No,None,2,4,3,3,Real-life statistics,None
Lead City University (LCU),Applied Sciences,Male,16–20,200 Level,Yes,Rarely,Images/Posters,2,3,3,3,No,WhatsApp,Twitter (X),Like only,5,3,5,3,No,None,3,3,2,2,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,26–30,300 Level,Yes,Weekly,Videos/Documentaries,3,5,5,3,No,Twitter (X),Facebook,Like & Comment,4,4,5,4,No,None,4,4,3,4,Simplicity and clarity,Good job
University of Ibadan (UI),Science,Male,21–25,200 Level,Yes,Rarely,Articles/Posts,4,4,4,3,No,WhatsApp,Facebook,Like only,3,3,5,4,No,None,3,3,2,1,Strong visuals,None
Lead City University (LCU),Law,Male,21–25,200 Level,Yes,Daily,Images/Posters,3,3,5,4,No,"WhatsApp, TikTok, Instagram",TikTok,Participate in Challenges/Campaigns,4,2,5,4,Yes,Shared Content,5,5,4,4,Emotional storytelling,More videos
University of Ibadan (UI),Social Sciences,Male,Above 30,400 Level,Yes,Rarely,Videos/Documentaries,2,3,2,1,Not sure,Facebook,YouTube,Like only,3,2,5,3,No,None,3,4,2,2,Real-life statistics,None
Lead City University (LCU),Applied Sciences,Male,26–30,300 Level,Yes,Daily,Videos/Documentaries,5,5,5,5,No,WhatsApp,Twitter (X),Like only,4,4,2,4,No,None,3,5,2,5,Real-life statistics,More videos
"Federal College of Agriculture, Ibadan",Agriculture,Female,Above 30,100 Level,Yes,Rarely,Videos/Documentaries,4,2,3,4,No,"WhatsApp, Facebook, Instagram",Instagram,Like & Comment,3,5,4,3,No,None,4,2,4,2,Simplicity and clarity,Good job
"The Polytechnic, Ibadan",Engineering,Female,26–30,100 Level,Yes,Weekly,Videos/Documentaries,5,3,4,5,No,WhatsApp,Instagram,Participate in Challenges/Campaigns,1,4,3,4,No,None,4,3,3,5,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,100 Level,Yes,Daily,Videos/Documentaries,5,5,3,4,Yes,Instagram,Facebook,Like only,3,4,5,3,No,None,5,3,3,3,Influencer promotion,More videos
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,100 Level,Yes,Daily,Videos/Documentaries,3,5,4,4,Yes,Twitter (X),Facebook,I only view/read,2,3,4,4,Yes,"Shared Content, Joined Group",3,5,3,4,Strong visuals,None
"The Polytechnic, Ibadan",Science,Female,16–20,300 Level,Yes,Weekly,Videos/Documentaries,4,3,3,5,Yes,Instagram,Twitter (X),I only view/read,5,3,2,3,No,None,3,2,4,4,Real-life statistics,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,100 Level,Not sure,Not Applicable,None,3,3,3,3,No,Instagram,Facebook,Like & Comment,4,3,4,3,No,None,2,4,2,3,Emotional storytelling,None
Lead City University (LCU),Management,Female,16–20,400 Level,Yes,Rarely,Campaign Flyers,4,2,4,3,No,WhatsApp,WhatsApp,I only view/read,5,4,3,4,No,None,1,4,2,4,Real-life statistics,None
"The Polytechnic, Ibadan",Engineering,Female,16–20,200 Level,Yes,Rarely,Articles/Posts,2,4,2,2,Yes,Facebook,WhatsApp,I only view/read,5,3,3,3,No,None,3,4,1,1,Strong visuals,None
Lead City University (LCU),Law,Male,16–20,300 Level,Yes,Daily,Infographics,4,5,2,4,No,Instagram,Facebook,I only view/read,4,2,3,2,Not sure,None,3,4,5,5,Simplicity and clarity,More videos
"The Polytechnic, Ibadan",Engineering,Female,16–20,200 Level,Yes,Daily,Images/Posters,4,4,4,5,Yes,"Instagram, WhatsApp",TikTok,Participate in Challenges/Campaigns,4,2,5,3,No,None,2,3,2,4,Simplicity and clarity,Good job
Lead City University (LCU),Applied Sciences,Male,16–20,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,5,5,4,3,Yes,WhatsApp,Twitter (X),Like only,4,3,4,3,No,None,4,4,4,4,Emotional storytelling,None
University of Ibadan (UI),Social Sciences,Prefer not to say,21–25,100 Level,Yes,Rarely,Images/Posters,3,4,2,3,Yes,"Twitter (X), WhatsApp",Instagram,Like & Comment,4,4,4,3,No,None,3,4,4,2,Strong visuals,Good job
Lead City University (LCU),Management,Male,21–25,200 Level,Yes,Rarely,Infographics,4,5,4,2,Not sure,YouTube,Instagram,Participate in Challenges/Campaigns,2,4,3,3,No,None,3,4,1,3,Emotional storytelling,Collaborate with schools
University of Ibadan (UI),Science,Male,26–30,200 Level,Yes,Daily,Campaign Flyers,3,5,4,3,Yes,"Facebook, WhatsApp",Instagram,I only view/read,4,2,4,5,Yes,"Shared Content, Joined Group",5,4,4,3,Strong visuals,None
Lead City University (LCU),Law,Female,21–25,200 Level,Yes,Weekly,Infographics,5,4,5,4,Yes,"Instagram, WhatsApp, TikTok, Twitter (X)",Facebook,Like & Comment,4,3,3,4,Yes,Stopped Harmful Products,5,4,1,3,Simplicity and clarity,None
Lead City University (LCU),Law,Female,16–20,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,4,2,5,5,No,Twitter (X),YouTube,I only view/read,4,2,4,2,Yes,Tree-planting,2,3,5,2,Strong visuals,Make it relatable
University of Ibadan (UI),Renewable Natural Resources,Male,16–20,400 Level,Not sure,Not Applicable,None,3,3,3,3,No,Facebook,Instagram,Participate in Challenges/Campaigns,4,3,5,4,Not sure,None,1,4,4,4,Real-life statistics,More videos
University of Ibadan (UI),Science,Male,16–20,100 Level,Yes,Weekly,Infographics,4,5,4,2,No,"Instagram, Facebook, YouTube",Twitter (X),I only view/read,5,4,4,5,No,None,3,4,2,5,Simplicity and clarity,Good job
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,200 Level,Yes,Rarely,Campaign Flyers,2,3,3,2,Yes,WhatsApp,YouTube,Like only,5,4,4,2,Yes,Joined Group,2,3,4,3,Simplicity and clarity,None
University of Ibadan (UI),Arts,Female,21–25,300 Level,No,Not Applicable,None,3,3,3,3,No,Facebook,WhatsApp,I only view/read,5,4,4,4,Yes,"Shared Content, Donation",2,4,4,4,Simplicity and clarity,None
Lead City University (LCU),Applied Sciences,Female,21–25,400 Level,Yes,Weekly,Images/Posters,4,4,3,3,No,WhatsApp,Facebook,Like only,3,3,5,2,No,None,3,3,3,3,Strong visuals,None
"The Polytechnic, Ibadan",Engineering,Female,16–20,400 Level,Yes,Daily,Articles/Posts,5,4,3,3,Yes,Facebook,Facebook,Like only,4,3,3,3,Yes,Shared Content,3,5,4,5,Emotional storytelling,More videos
University of Ibadan (UI),Arts,Male,21–25,200 Level,Yes,Weekly,Videos/Documentaries,5,5,2,2,Yes,Facebook,WhatsApp,Share/Repost,4,2,3,4,No,None,4,4,3,2,Strong visuals,None
"The Polytechnic, Ibadan",Science,Female,21–25,400 Level,Yes,Weekly,Videos/Documentaries,5,5,3,5,Not sure,YouTube,YouTube,Like only,5,3,4,3,No,None,5,3,2,5,Influencer promotion,More videos
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,400 Level,Yes,Daily,Campaign Flyers,5,3,3,5,Yes,WhatsApp,Facebook,I only view/read,4,4,4,2,No,None,4,4,3,2,Simplicity and clarity,Good job
Lead City University (LCU),Law,Female,16–20,100 Level,Yes,Daily,Videos/Documentaries,5,5,3,5,Yes,Twitter (X),Twitter (X),Like only,2,5,3,3,Yes,Shared Content,4,4,4,2,Influencer promotion,More videos
"The Polytechnic, Ibadan",Science,Female,21–25,300 Level,Yes,Daily,Articles/Posts,4,5,4,4,Not sure,"Facebook, Instagram",Twitter (X),Share/Repost,3,4,4,2,Yes,Shared Content,4,5,4,4,Strong visuals,Good job
"The Polytechnic, Ibadan",Science,Male,Above 30,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,4,3,4,3,Yes,WhatsApp,WhatsApp,Like only,5,4,4,4,Yes,"Shared Content, Joined Group",4,5,3,5,Emotional storytelling,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Female,16–20,400 Level,Yes,Weekly,Campaign Flyers,3,4,3,3,No,Instagram,Facebook,Share/Repost,4,4,4,4,Yes,Shared Content,4,5,4,2,Emotional storytelling,Make it relatable
University of Ibadan (UI),Renewable Natural Resources,Female,21–25,300 Level,Yes,Weekly,Images/Posters,4,4,2,4,No,WhatsApp,WhatsApp,Participate in Challenges/Campaigns,5,3,5,3,No,None,4,4,3,2,Strong visuals,Collaborate with schools
Lead City University (LCU),Applied Sciences,Male,21–25,400 Level,Yes,Rarely,Campaign Flyers,1,3,5,3,Yes,"YouTube, Instagram",Facebook,Like & Comment,4,3,5,4,No,None,3,5,3,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,400 Level,Yes,Weekly,Videos/Documentaries,3,4,4,3,Yes,Instagram,WhatsApp,Like & Comment,4,3,4,3,No,None,3,3,4,4,Real-life statistics,Make it relatable
Lead City University (LCU),Applied Sciences,Female,Above 30,400 Level,Yes,Rarely,Articles/Posts,1,2,1,2,No,WhatsApp,WhatsApp,I only view/read,3,4,4,2,Yes,Donation,2,3,3,2,Real-life statistics,None
University of Ibadan (UI),Science,Male,16–20,300 Level,Yes,Rarely,Images/Posters,5,3,4,2,Yes,WhatsApp,Instagram,Like & Comment,3,3,4,5,No,None,3,4,3,4,Emotional storytelling,Collaborate with schools
"The Polytechnic, Ibadan",Science,Female,Above 30,100 Level,Yes,Weekly,Videos/Documentaries,4,5,5,2,Not sure,Facebook,WhatsApp,I only view/read,5,1,5,4,Yes,"Shared Content, Stopped Harmful Products",3,3,4,4,Emotional storytelling,Collaborate with schools
Lead City University (LCU),Management,Female,16–20,300 Level,Yes,Weekly,Videos/Documentaries,4,2,5,4,No,"WhatsApp, YouTube",Facebook,I only view/read,4,3,3,5,Yes,Joined Group,4,5,3,2,Simplicity and clarity,Good job
University of Ibadan (UI),Arts,Female,21–25,400 Level,Yes,Weekly,Articles/Posts,4,3,4,3,No,WhatsApp,Twitter (X),Share/Repost,4,3,5,4,No,None,3,3,5,4,Emotional storytelling,Make it relatable
"The Polytechnic, Ibadan",Engineering,Female,21–25,500 Level / Postgraduate,No,Not Applicable,None,3,3,3,3,No,WhatsApp,WhatsApp,I only view/read,3,2,4,3,Yes,"Joined Group, Shared Content",4,3,1,5,Simplicity and clarity,None
Lead City University (LCU),Applied Sciences,Female,21–25,400 Level,Yes,Weekly,Images/Posters,3,4,5,3,No,Instagram,Instagram,Like only,4,4,3,2,No,None,2,4,3,4,Strong visuals,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,100 Level,Yes,Daily,Campaign Flyers,4,4,4,3,Yes,Instagram,Instagram,Like & Comment,5,2,4,5,No,None,2,4,3,4,Influencer promotion,None
University of Ibadan (UI),Social Sciences,Female,26–30,100 Level,Yes,Rarely,Images/Posters,5,4,4,3,No,Instagram,Facebook,Like & Comment,5,5,5,5,No,None,3,2,2,3,Strong visuals,Collaborate with schools
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,200 Level,Yes,Weekly,Videos/Documentaries,3,4,2,5,No,WhatsApp,Facebook,Like & Comment,4,3,5,5,No,None,4,4,2,3,Influencer promotion,None
"The Polytechnic, Ibadan",Science,Female,16–20,300 Level,Yes,Rarely,Articles/Posts,5,4,5,2,No,"TikTok, Facebook",Facebook,Like only,4,3,4,4,Yes,Shared Content,3,3,2,2,Strong visuals,Collaborate with schools
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,200 Level,Yes,Rarely,Campaign Flyers,4,3,4,2,No,Instagram,WhatsApp,Participate in Challenges/Campaigns,4,4,4,4,No,None,2,2,1,2,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,100 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,Facebook,I only view/read,3,2,5,4,Yes,Joined Group,1,4,4,3,Emotional storytelling,More videos
Lead City University (LCU),Applied Sciences,Female,21–25,300 Level,Yes,Daily,Articles/Posts,4,5,2,4,Yes,"WhatsApp, Facebook",Instagram,Share/Repost,4,2,5,4,No,None,4,5,4,4,Strong visuals,More videos
"Federal College of Agriculture, Ibadan",Agriculture,Female,16–20,300 Level,Yes,Weekly,Images/Posters,5,3,3,4,Yes,"WhatsApp, Facebook",I do not engage,Like only,4,3,4,4,No,None,2,4,3,3,Simplicity and clarity,None
University of Ibadan (UI),Social Sciences,Male,16–20,300 Level,Yes,Daily,Articles/Posts,5,5,5,4,Yes,Facebook,Facebook,Like & Comment,4,3,5,3,Yes,"Shared Content, Joined Group",3,4,4,3,Strong visuals,Make it relatable
University of Ibadan (UI),Arts,Male,16–20,100 Level,Yes,Rarely,Images/Posters,3,3,2,4,No,WhatsApp,WhatsApp,Like only,5,3,4,4,No,None,2,2,4,1,Real-life statistics,More videos
Lead City University (LCU),Management,Male,21–25,100 Level,Yes,Rarely,Videos/Documentaries,3,3,3,2,Yes,Facebook,Instagram,Like only,4,3,5,4,No,None,2,3,1,2,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,300 Level,Yes,Weekly,Images/Posters,3,3,4,3,Yes,"WhatsApp, Instagram, Facebook, Twitter (X)",Facebook,Like only,2,4,5,4,Yes,Tree-planting,4,5,3,4,Emotional storytelling,Collaborate with schools
University of Ibadan (UI),Arts,Female,16–20,400 Level,Yes,Rarely,Images/Posters,4,4,2,1,No,"Twitter (X), WhatsApp",Twitter (X),Like & Comment,4,5,5,3,No,None,2,4,3,5,Real-life statistics,None
"The Polytechnic, Ibadan",Science,Male,21–25,500 Level / Postgraduate,Yes,Rarely,Images/Posters,2,4,3,2,No,"WhatsApp, Instagram",WhatsApp,I only view/read,4,2,1,3,Yes,"Shared Content, Joined Group",3,3,2,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,100 Level,Yes,Weekly,Videos/Documentaries,4,3,4,3,Yes,"Instagram, WhatsApp, YouTube",Twitter (X),I only view/read,4,2,5,3,No,None,4,5,4,4,Strong visuals,Collaborate with schools
University of Ibadan (UI),Arts,Male,16–20,300 Level,Yes,Weekly,Images/Posters,3,4,5,3,No,TikTok,Twitter (X),I only view/read,4,5,5,4,Not sure,None,4,4,5,3,Emotional storytelling,None
University of Ibadan (UI),Social Sciences,Male,21–25,500 Level / Postgraduate,Yes,Weekly,Campaign Flyers,4,5,5,2,Not sure,WhatsApp,WhatsApp,Like only,2,3,2,5,No,None,4,5,2,4,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,500 Level / Postgraduate,Yes,Weekly,Campaign Flyers,4,4,4,2,No,"WhatsApp, Instagram",Facebook,Share/Repost,4,4,3,2,Yes,Shared Content,2,5,3,5,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Prefer not to say,Above 30,100 Level,Yes,Weekly,Videos/Documentaries,3,5,4,4,No,"Instagram, WhatsApp, Twitter (X)",I do not engage,Like only,4,3,4,3,Not sure,None,3,5,4,5,Strong visuals,None
University of Ibadan (UI),Arts,Female,16–20,200 Level,Yes,Weekly,Videos/Documentaries,3,5,5,4,No,WhatsApp,Facebook,I only view/read,4,2,2,4,No,None,5,2,2,3,Influencer promotion,Collaborate with schools
University of Ibadan (UI),Renewable Natural Resources,Female,16–20,300 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,TikTok,Like & Comment,4,3,4,3,Yes,Joined Group,5,4,1,2,Strong visuals,None
Lead City University (LCU),Management,Male,16–20,100 Level,Yes,Weekly,Infographics,4,3,5,4,No,"Twitter (X), TikTok",Facebook,Participate in Challenges/Campaigns,4,3,5,3,No,None,2,3,4,4,Simplicity and clarity,None
"The Polytechnic, Ibadan",Engineering,Male,21–25,100 Level,No,Not Applicable,None,3,3,3,3,No,"Facebook, WhatsApp, Instagram",Facebook,Like only,4,3,3,3,Not sure,None,2,4,4,2,Strong visuals,None
Lead City University (LCU),Applied Sciences,Male,16–20,300 Level,Yes,Weekly,Articles/Posts,5,3,3,2,No,Instagram,YouTube,Like only,4,2,5,3,No,None,4,3,4,4,Simplicity and clarity,More videos
Lead City University (LCU),Applied Sciences,Male,26–30,400 Level,Yes,Rarely,Videos/Documentaries,5,2,3,1,Yes,"Facebook, Twitter (X), WhatsApp, Instagram",Twitter (X),Like only,1,2,5,4,No,None,4,3,2,2,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,200 Level,Yes,Weekly,Infographics,4,2,5,3,Yes,"WhatsApp, Instagram, TikTok",Facebook,Like only,2,2,4,3,Yes,Joined Group,4,3,3,4,Strong visuals,None
"The Polytechnic, Ibadan",Business,Male,21–25,100 Level,No,Not Applicable,None,3,3,3,3,No,"WhatsApp, Facebook",WhatsApp,I only view/read,3,3,5,4,No,None,5,4,4,3,Influencer promotion,More videos
"Federal College of Agriculture, Ibadan",Horticulture,Male,26–30,100 Level,Yes,Rarely,Images/Posters,2,2,1,2,Yes,WhatsApp,Instagram,I only view/read,4,3,5,3,No,None,4,3,3,3,Emotional storytelling,None
University of Ibadan (UI),Science,Female,26–30,300 Level,Yes,Weekly,Campaign Flyers,3,4,4,3,No,"WhatsApp, Instagram, YouTube, Facebook",WhatsApp,Participate in Challenges/Campaigns,2,4,3,3,Yes,"Shared Content, Joined Group",2,4,3,4,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,200 Level,Yes,Rarely,Videos/Documentaries,2,2,4,2,No,WhatsApp,WhatsApp,Share/Repost,4,4,4,3,No,None,2,2,1,1,Strong visuals,Make it relatable
University of Ibadan (UI),Arts,Male,16–20,100 Level,Not sure,Not Applicable,None,3,3,3,3,No,Instagram,TikTok,Like only,3,4,5,3,Not sure,None,4,5,2,5,Simplicity and clarity,None
"The Polytechnic, Ibadan",Business,Male,16–20,400 Level,Yes,Weekly,Campaign Flyers,3,5,3,3,Yes,Facebook,Facebook,Participate in Challenges/Campaigns,5,2,5,3,No,None,5,3,3,2,Emotional storytelling,None
Lead City University (LCU),Law,Male,16–20,100 Level,Yes,Weekly,Videos/Documentaries,4,4,4,2,Yes,"WhatsApp, Facebook",Facebook,I only view/read,5,4,3,4,No,None,5,5,3,2,Strong visuals,Make it relatable
Lead City University (LCU),Law,Female,16–20,300 Level,Yes,Weekly,Videos/Documentaries,3,4,5,2,No,"WhatsApp, Twitter (X)",Instagram,Like only,4,2,4,5,No,None,3,3,3,3,Emotional storytelling,None
University of Ibadan (UI),Science,Male,16–20,500 Level / Postgraduate,Yes,Rarely,Images/Posters,3,3,3,3,Not sure,WhatsApp,YouTube,Like & Comment,4,4,5,4,No,None,4,4,3,3,Emotional storytelling,None
University of Ibadan (UI),Arts,Male,21–25,400 Level,Yes,Weekly,Infographics,4,5,4,3,Yes,Instagram,Facebook,Like only,2,2,4,3,Yes,Tree-planting,3,3,2,5,Simplicity and clarity,Collaborate with schools
Lead City University (LCU),Management,Male,21–25,100 Level,Yes,Weekly,Campaign Flyers,4,5,5,4,No,"WhatsApp, TikTok",Facebook,Like only,3,4,5,3,Yes,Shared Content,4,5,3,4,Simplicity and clarity,Make it relatable
University of Ibadan (UI),Renewable Natural Resources,Female,21–25,200 Level,Yes,Rarely,Campaign Flyers,2,4,2,3,Yes,"WhatsApp, Instagram",Instagram,Like & Comment,4,3,5,2,No,None,2,3,3,2,Emotional storytelling,Good job
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,100 Level,Yes,Rarely,Campaign Flyers,4,2,3,2,Yes,Facebook,YouTube,Like only,3,3,5,3,No,None,2,2,3,3,Simplicity and clarity,Good job
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,100 Level,Yes,Weekly,Images/Posters,3,3,4,5,Yes,"Instagram, WhatsApp",Twitter (X),Like & Comment,5,2,4,4,No,None,3,4,3,1,Simplicity and clarity,Good job
University of Ibadan (UI),Science,Male,16–20,200 Level,Yes,Rarely,Videos/Documentaries,2,2,2,3,No,"WhatsApp, Twitter (X)",Instagram,Like only,4,3,5,3,No,None,3,2,1,1,Emotional storytelling,Good job
Lead City University (LCU),Law,Female,21–25,400 Level,Yes,Daily,Images/Posters,3,5,5,5,Yes,"Instagram, YouTube, WhatsApp",YouTube,Like & Comment,4,4,4,4,Yes,Donation,5,5,4,4,Emotional storytelling,Make it relatable
University of Ibadan (UI),Science,Male,16–20,300 Level,Yes,Weekly,Images/Posters,1,3,3,3,Not sure,"Twitter (X), WhatsApp, Instagram, Facebook",WhatsApp,Like only,3,5,3,3,No,None,3,4,2,2,Simplicity and clarity,None
Lead City University (LCU),Management,Male,21–25,300 Level,Yes,Weekly,Images/Posters,3,3,3,5,No,Facebook,Instagram,Like only,4,2,5,4,Yes,Stopped Harmful Products,3,3,5,4,Simplicity and clarity,None
University of Ibadan (UI),Social Sciences,Female,16–20,200 Level,Yes,Weekly,Videos/Documentaries,5,3,3,3,No,Instagram,Instagram,I only view/read,5,5,5,2,No,None,3,4,3,2,Real-life statistics,More videos
"The Polytechnic, Ibadan",Business,Male,21–25,400 Level,Not sure,Not Applicable,None,3,3,3,3,No,WhatsApp,Instagram,I only view/read,4,2,4,3,No,None,3,4,4,2,Emotional storytelling,None
Lead City University (LCU),Law,Female,16–20,400 Level,Yes,Daily,Infographics,5,4,5,3,No,WhatsApp,TikTok,I only view/read,4,3,5,3,Yes,Joined Group,5,3,3,4,Emotional storytelling,Collaborate with schools
University of Ibadan (UI),Renewable Natural Resources,Prefer not to say,21–25,200 Level,Yes,Daily,Articles/Posts,5,5,5,5,No,"Facebook, Instagram",TikTok,Like only,4,1,4,5,Yes,Stopped Harmful Products,4,5,4,5,Influencer promotion,None
"The Polytechnic, Ibadan",Science,Male,21–25,400 Level,Yes,Weekly,Campaign Flyers,3,3,2,2,Not sure,WhatsApp,Facebook,Share/Repost,3,1,5,4,Yes,"Shared Content, Joined Group",5,5,4,1,Simplicity and clarity,None
